,artist,success_probability,track_name
47,AlessoClean Bandit,0.7551341991341991,REMEDYClean Bandit
851,James ArthurClean Bandit,0.7321991341991343,Rewrite The Stars (with James Arthur & Anne-Marie)Clean Bandit
1397,blackbearClean Bandit,0.6981818181818182,hot girl bummerClean Bandit
737,BTSClean Bandit,0.6981580086580087,dimpleClean Bandit
1598,Demi LovatoClean Bandit,0.6966818181818181,I Love MeClean Bandit
974,Why Don't WeClean Bandit,0.6962770562770564,What Am IClean Bandit
1539,OneRepublicClean Bandit,0.695531746031746,ConnectionClean Bandit
629,MEDUZAClean Bandit,0.6931421356421358,Lose ControlClean Bandit
1640,Why Don't WeClean Bandit,0.6913484848484848,ChillsClean Bandit
543,BazziClean Bandit,0.6891666666666667,HonestClean Bandit
